"Tool Index (tool_index)","Preset Name (preset_name)","Type (tool_type)","Description (tool_description)","Diameter (tool_diameter)","Number (tool_number)","Unit (tool_unit)","Holder Description (holder_description)","Holder Product ID (holder_productId)","Holder Product Link (holder_productLink)","Holder Vendor (holder_vendor)","Abrasive Flow Rate (tool_abrasiveFlowRate)","Size (tool_adaptiveItemSize)","Orientation (tool_angle)","Tool Assembly Gauge Length (tool_assemblyGaugeLength)","Assist Gas (tool_assistGas)","Axial Distance (tool_axialDistance)","Bead Width (tool_beadWidth)","Tool Block Size (tool_block_adaptiveItemSize)","Tool Block Comment (tool_block_comment)","Tool Block Description (tool_block_description)","Tool Block Half Index (tool_block_isHalfIndex)","Tool Block Live (tool_block_live)","Tool Block Connection Type (tool_block_machineSideConnectionType)","Tool Block Maximum RPM (tool_block_maximumRotationalSpeed)","Tool Block Attachment points (tool_block_numberOfAttachmentPoints)","Tool Block Number of Tools (tool_block_numberOfTools)","Tool Block Orientation (tool_block_orientationType)","Tool Block Product ID (tool_block_productId)","Tool Block Product Link (tool_block_productLink)","Tool Block Station Number (tool_block_stationNumber)","Tool Block Vendor (tool_block_vendor)","Body Length (tool_bodyLength)","Break Control (tool_breakControl)","Chamfer Angle (tool_chamferAngle)","Chamfer Width (tool_chamferWidth)","Clamping (tool_clamping)","Clockwise Spindle Rotation (tool_clockwise)","Comment (tool_comment)","Compensation (tool_compensation)","Compensation Offset (tool_compensationOffset)","Coolant (tool_coolant)","Coolant Support (tool_coolantSupport)","Corner Radius (tool_cornerRadius)","Cross Section (tool_crossSection)","Cut Height (tool_cutHeight)","Cut Power (tool_cutPower)","Cutting Width (tool_cuttingWidth)","Auxiliary Gas Flow Rate (tool_depositingAuxiliaryGasFlowRate)","Carrier Gas Flow Rate (tool_depositingCarrierGasFlowRate)","Current (tool_depositingCurrent)","Power (tool_depositingPower)","Shield Gas Flow Rate (tool_depositingShieldGasFlowRate)","Voltage (tool_depositingVoltage)","Depth of Cut (tool_depthOfCut)","Diameter Offset (tool_diameterOffset)","End Angle (tool_endAngle)","End Cutting (tool_endCutting)","Cutting Feedrate (tool_feedCutting)","Cutting Feed per Revolution (tool_feedCuttingRel)","Depositing Feedrate (tool_feedDepositing)","Lead-In Feedrate (tool_feedEntry)","Lead-In Feed per Revolution (tool_feedEntryRel)","Lead-Out Feedrate (tool_feedExit)","Lead-Out Feed per Revolution (tool_feedExitRel)","Plunge Feed per Revolution (tool_feedPerRevolution)","Feed per Tooth (tool_feedPerTooth)","Plunge Feedrate (tool_feedPlunge)","Link Feedrate (tool_feedProbeLink)","Measure Feedrate (tool_feedProbeMeasure)","Ramp Feedrate (tool_feedRamp)","Retract Feedrate (tool_feedRetract)","Retract Feed per Revolution (tool_feedRetractPerRevolution)","Transition Feedrate (tool_feedTransition)","Wire Feedrate (tool_feedWire)","Flute Length (tool_fluteLength)","Use Opposite Edge (tool_grooveCompOppositeEdge)","Groove Width (tool_grooveWidth)","Hand (tool_hand)","Head Clearance (tool_headClearance)","Head Length (tool_headLength)","Tool Holder Gauge Length (tool_holderGaugeLength)","Head Length (tool_holderHeadLength)","Overall Length (tool_holderOverallLength)","Style (tool_holderType)","Angle (tool_insertAngle)","Insert size (tool_insertSize)","Size specified by (tool_insertSizeSpecificationMode)","Shape (tool_insertType)","Width (tool_insertWidth)","Internal Thread (tool_internalThread)","Half Index (tool_isHalfIndex)","Kerf Width (tool_kerfWidth)","Layer Thickness (tool_layerThickness)","Leading Angle (tool_leadingAngle)","Trailing edge length (tool_lengthNonCuttingEdge)","Length Offset (tool_lengthOffset)","Live Tool (tool_live)","Lower Radius (tool_lowerRadius)","Quality Control (tool_machineQualityControl)","Connection Type (tool_machineSideConnectionType)","Manual Tool Change (tool_manualToolChange)","Material (tool_material)","Maximum Diameter (tool_maximumCuttingDiameter)","Maximum RPM (tool_maximumRotationalSpeed)","Maximum Thread Pitch (tool_maximumThreadPitch)","Minimum Thread Pitch (tool_minimumThreadPitch)","Nozzle Diameter (tool_nozzleDiameter)","Attachment points (tool_numberOfAttachmentPoints)","Number of Flutes (tool_numberOfFlutes)","Number of Teeth (tool_numberOfTeeth)","Number of Tools (tool_numberOfTools)","Orientation (tool_orientationType)","Overall Length (tool_overallLength)","Pierce Height (tool_pierceHeight)","Pierce Power (tool_piercePower)","Pierce Time (tool_pierceTime)","Powder Flow Rate (tool_powderFlowRate)","Filter by Type (tool_presetMaterialCategory)","Maximum hardness (tool_presetMaterialMaximumHardness)","Minimum hardness (tool_presetMaterialMinimumHardness)","Filter by Search (tool_presetMaterialQuery)","Filter by hardness (tool_presetMaterialUseHardness)","Preset Program Number (tool_presetProgram)","Pressure (tool_pressure)","Product ID (tool_productId)","Product Link (tool_productLink)","Profile Radius (tool_profileRadius)","Ramp Angle (tool_rampAngle)","Ramp Spindle Speed (tool_rampSpindleSpeed)","Relief Angle (tool_reliefAngle)","Round Shank (tool_roundShank)","Flip (tool_shaftAxisAngle)","Shaft Diameter (tool_shaftDiameter)","Shank Height (tool_shankHeight)","Shank Width (tool_shankWidth)","Shoulder Diameter (tool_shoulderDiameter)","Shoulder Length (tool_shoulderLength)","Side Angle (tool_sideAngle)","Side Cutting (tool_sideCutting)","Spindle Speed (tool_spindleSpeed)","Stand-off Distance (tool_standoffDistance)","Station Number (tool_stationNumber)","Stepdown (tool_stepdown)","Stepover (tool_stepover)","Surface Speed (tool_surfaceSpeed)","Taper Angle (tool_taperAngle)","Tapered Type (tool_taperedType)","Thickness (tool_thickness)","Thread Pitch (tool_threadPitch)","Thread Profile Angle (tool_threadProfileAngle)","Thread Tip Radius (tool_threadTipRadius)","Thread Tip Type (tool_threadTipType)","Thread Tip Width (tool_threadTipWidth)","Tip Angle (tool_tipAngle)","Tip Diameter (tool_tipDiameter)","Tip Length (tool_tipLength)","Tip Offset (tool_tipOffset)","Tolerance (tool_tolerance)","Trailing Angle (tool_trailingAngle)","Turret (tool_turret)","Upper Radius (tool_upperRadius)","Use Constant Surface Speed (tool_useConstantSurfaceSpeed)","Use Feed per Revolution (tool_useFeedPerRevolution)","Vendor (tool_vendor)","Use Depth of Cut (use_tool_depthOfCut)","Use Preset Program Number (use_tool_presetProgram)","Use Stepdown (use_tool_stepdown)","Use Stepover (use_tool_stepover)","Shaft Segments (shaft_segments)","Holder Segments (holder_segments)","Tool Library Version (tool_library_version)","CSV_TOOLS_VERSION_1"
1,"Default preset","bull nose end mill","3/8 Bull Mill .125R",0.375,3,"inches","NBT30-SK13C-120","","","","","","",5.74878,"","","","","","","","","","","","","","","","","",1.3,false,"","","",true,"","",3,"flood","no",0.125,"","","","","","","","","","","",3,"","",40,"","",40,"",40,"",0.00266667,0.002,13.3333,"","",13.3333,"","",40,"",0.625,"","","","","",4.44878,"","","","","","","","","","","","","","",3,true,"","","",false,"carbide","","","","","","",4,"","","",2.5,"","","","","all","","","",false,"","","A-3","","",2,5000,"","","",0.375,"","",0.375,0.625,"","",5000,"","","","",490.874,"","","","","","","","","","","","","","",0,"","","","MSC","","",false,false,"","H3.661420 U1.299210 L1.299210; H0.039370 U1.811020 L1.732280; H0.133858 U1.811020 L1.811020; H0.090906 U1.496060 L1.811020; H0.133110 U1.496060 L1.496060; H0.090906 U1.811020 L1.496060; H0.259843 U1.811020 L1.811020; H0.039370 U1.732280 L1.811020; H0.078740 U1.250000 L1.250000",36
2,"SS","flat end mill","3/16 EM 7FL .57LOC FINISH",0.1875,4,"inches","NBT30-SK13C-90","","","","","","",3.95642,"","","","","","","","","","","","","","","","","",0.61,false,"","","",true,"","",4,"flood","no","","","","","","","","","","","","",4,"","",35.2942,"","",35.2942,"",35.2942,"",0.00356999,0.0009,20,"","",22,"","",150,"",0.57,"","","","","",3.34642,"","","","","","","","","","","","","","",4,true,"","","",false,"carbide","","","","","","",7,"","","",2,"","","","","all","","","",false,"","","A-35","https://americanprecisionworks.adionsystems.com/procnc/tools/A/A-35$","",2,5602.25,"","","",0.1875,"","",0.1875,0.57,"","",5602.25,"","","",0.018,275,"","","","","","","","","","","","","","",0,"","","","LC-52","","",false,true,"","H2.559055 U1.299213 L1.299213; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
3,"Default preset","drill","PS D-53 5/16 Carbide drill 1.693 LOC",0.3125,4,"inches","NBT30-SK13C-120","","","","","","",6.52752,"","","","","","","","","","","","","","","","","",2,false,"","","",true,"","",4,"flood","no","","","","","","","","","","","","",4,"","","","","","","","","",0.005,"",12.1009,"","","",40,0.0165277,"","",1.693,"","","","","",4.52752,"","","","","","","","","","","","","","",4,true,"","","",false,"carbide","","","","","","",2,"","","",3.584,"","","","","all","","","",false,"","","D-53","","",2,"","","","",0.3125,"","","",1.694,"","",2420.17,"","","","",198,"","","","","","","","",140,"","","","","",0,"","",false,"Haas","","",false,false,"","H3.740157 U1.299213 L1.299213; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
4,"AL A-13","face mill","2.5 FACE MILL HAAS 45DEG AL",2.5,4,"inches","NBT30 Holder for hass 2.5"" shell mill ","","","","","","",2.9391,"","","","","","","","","","","","","","","","","",1.74,false,"","","",true,"RTA-22","",4,"flood","no",0,"","","","","","","","","","","",4,"","",90,"","",90,"",90,"",0.0125,0.0045,50,"","",25,"","",90,"",0.236,"","","","","",1.1991,"","","","","","","","","","","","","","",4,true,"","","",false,"carbide",3.472,"","","","","",5,"","","",4,"","","","","all","","","",false,"","","I-167/ G-168","https://americanprecisionworks.adionsystems.com/procnc/rtas/2026/22$","",2,4000,"","","",1.78,"","",3.472,0.236,"","",4000,"","","","",2617.99,45,"","","","","","","","","","","","","",0,0,"","","LC-24","","",false,false,"","H0.411740 U1.732283 L1.732283; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
4,"Steel A-28","face mill","2.5 FACE MILL HAAS 45DEG AL",2.5,4,"inches","NBT30 Holder for hass 2.5"" shell mill ","","","","","","",2.9391,"","","","","","","","","","","","","","","","","",1.74,false,"","","",true,"RTA-22","",4,"flood","no",0,"","","","","","","","","","","",4,"","",30.7105,"","",30.7105,"",30.7105,"",0.0814053,0.005,100,"","",25,"","",30.7105,"",0.236,"","","","","",1.1991,"","","","","","","","","","","","","","",4,true,"","","",false,"carbide",3.472,"","","","","",5,"","","",4,"","","","","all","","","",false,"","","I-167/ G-168","https://americanprecisionworks.adionsystems.com/procnc/rtas/2026/22$","",2,1228.42,"","","",1.78,"","",3.472,0.236,"","",1228.42,"","","","",804,45,"","","","","","","","","","","","","",0,0,"","","LC-24","","",false,false,"","H0.411740 U1.732283 L1.732283; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
5,"AL","spot drill","1/2 100DEG Spot Drill",0.5,5,"inches","NBT30-SK13C-120","","","","","","",6.22752,"","","","","","","","","","","","","","","","","",1.7,false,"","","",true,"","",5,"flood","no","","","","","","","","","","","","",5,"","",10.8862,"","",10.8862,"",10.8862,"",0.00499486,0.0025,10.875,"","",20,10.875,0.00499486,10.8862,"",1,"","","","","",4.52752,"","","","","","","","","","","","","","",5,true,"","","",false,"carbide","","","","","","",2,"","","",2.5,"","","","","all","","","",false,"","","O-133","https://americanprecisionworks.adionsystems.com/procnc/tools/O/O-133$","",2,"","","","",0.5,"","","",1,"","",2177.24,"","","","",285,"","","","","","","","",100,0.045,"","","","",0,"","",false,"LC-136","","",false,false,"","H3.740157 U1.299213 L1.299213; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
6,"Default preset","tap right hand","M5X.8 Form tap 4H Class",0.1968,4,"inches","NBT30-SK13C-120","","","","","","",5.62752,"","","","","","","","","","","","","","","","","",1.1,false,"","","","","","",4,"flood","no","","","","","","","","","","","","",4,"","","","","","","","","",0,"","","","","","","","","",0.874,"","","","","",4.52752,"","","","","","","","","","","","","","",4,true,"","","",false,"hss","","","","","","",3,"","","",2.36,"","","","","all","","","",false,"","","R-98","","",2,"","","","",0.1968,"","","",1.09,"","",500,"","","","",25.7611,"","","",0.0314961,"","","","","","","","","","",0,"","","","","","",false,false,"","H3.740157 U1.299213 L1.299213; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
7,"ST","face mill","2in Face Mill KENN. ST",2,5,"inches"," FACE MILL BT30 DC","BT30-FMA.750-2.5D","https://www.maritool.com/Mill-Tool-Holders-BT30-Dual-Contact-BT30-Shell-Mill-Holders/c23_33_444_506/p25604/BT30-.750-DUAL-CONTACT-FACE-MILL-TOOL-HOLDER-.750-2.5/product_info.html","Maritool","","","",4.075,"","","","","","","","","","","","","","","","","",1.575,false,"","","",true,"RTA-20","",5,"flood","no",0.031,"","","","","","","","","","","",5,"","",12,"","",12,"",12,"",0.0236923,0.00236923,20,"","",12,"","",12,"",0.56,"","","","","",2.5,"","","","","","","","","","","","","","",5,true,"","","",false,"hss",2,"","","","","",6,"","","",4,"","","","","all","","","",false,"","","G-125/I-126","https://americanprecisionworks.adionsystems.com/procnc/rtas/2025/20$hour=12&page=DE3407D9-3918-8CBE-EFB6-F064B5CA2A8D&token=71D927ED-E053-6020-E9E6-49EC3736B6D3","",2,844.158,"","","",1.75,"","",2,0.6,"","",844.158,"","","","",442,0,"","","","","","","","","","","","","",0,0,"","","LC-132","","",false,false,"H0.600000 U1.750000 L2.000000","H1.712640 U1.730000 L1.730000; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
8,"Default preset","reamer",".194 HSS Reamer",0.194,6,"inches","DRILL CHUCK - BT30","BT30-APU13D","","Maritool","","","",6.765,"","","","","","","","","","","","","","","","","",2.5,false,"","","",true,"","",6,"flood","no","","","","","","","","","","","","",6,"","","","","","","","","",0.0014,"",16.539,"","","",40,0.00338594,"","",1.25,"","","","","",4.265,"","","","","","","","","","","","","","",6,true,"","","",false,"hss","","","","","","",6,"","","",5,"","","","","all","","","",false,"","","F-136","https://americanprecisionworks.adionsystems.com/procnc/tools/F/F-136$","",2,"","","","",0.1855,"","","",1.65,"","",11813.6,"","","","",600,"","","","","","","","","","","","","","",0,"","",false,"LC-139","","",false,false,"","H0.230000 U0.900000 L0.685000; H0.800000 U1.943000 L1.500000; H0.100000 U1.950000 L1.950000; H1.820870 U1.990000 L1.990000; H0.700000 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
9,"Default preset","ball end mill","1/4 Ball 1""LOC 3fl 30 deg",0.25,62,"inches","NBT30-SK13C-60","","","","","","",3.36531,"","","","","","","","","","","","","","","","","",1.2,false,"","","",true,"","",62,"flood","no","","","","","","","","","","","","",62,"","",40,"","",40,"",40,"",0.0111111,0.00148148,100,"","",13.3333,"","",40,"",1,"","","","","",2.16531,"","","","","","","","","","","","","","",62,true,"","","",false,"carbide","","","","","","",3,"","","",1.5,"","","","","all","","","",false,"","","B-200","","",2,9000,"","","",0.25,"","",0.25,1,"","",9000,"","","","",589.049,"","","","","","","","","","","","","","",0,"","","","","","",false,false,"","H1.377953 U1.299213 L1.299213; H0.039370 U1.811024 L1.732283; H0.133858 U1.811024 L1.811024; H0.090906 U1.496063 L1.811024; H0.133110 U1.496063 L1.496063; H0.090906 U1.811024 L1.496063; H0.259843 U1.811024 L1.811024; H0.039370 U1.732283 L1.811024; H0.078740 U1.250000 L1.250000",36
