"Tool #","Tool Group","Number","Cut Dia","Overall Length","LOC","(S)tub / (J)obber","ANSICatalogNumber","Approved Brand","Backside Capable","BodyDia","BottomCut","BottomRelief","CenterCut","Classification Marking","Classification Markings","Coating","CornerRad","Cost","Created At","Made Of","Custom Grind","Custom Ground Notes","Cutting Direction","Description","Diameter of Ball (DK)","Diameter Range","Diametral Knurl Value","Double Ended","SK Size","Face to Tip Value","FluteType/Chipbreaker","Full Profile","Grooving Insert Width","Quantity Verified","HelixAngle","Holder","Insert Corner Radius","InsertInscribedCirle","InsertReliefAngle","InsertShape","Insert Thickness","Insert Tip to Center Line of Shank","InsertTolerance","Insert Type","Inspection Certified","ISO Catalog Number","Lead Angle","Lead time","Length Below Holder - MIN OOH","Length Under Ball (ML)","Location","Max Back Angle","Max Offset Drill","Max Z Depth","Min Bore Diameter","Nomenclature","No. of Cutting Corners","No.ofFlutes","Pictures","Pitch","Pocket Geometry","Point Type","Totalin Shop","Recommended Pre-drill Size","Recommended Workpiece Material","Relieved Shank Diameter","Round Shank","Shaft Diameter (DS)","Shaft Material","Shank Diameter","Size Name","Sphere Material","Size of Square on Tap","Status","Tap class","Taper","Thread","Threaded Adapter Diameter (DG)","Threads Per Inch","Thread Type","Through Coolant","Tip Angle","Tip Diameter","Tip to 1st Full Thread","Drawer Location","Tool Material","TopCut","TopRelief","TPI Circular Pitch","Type Straight or Diagonal","Vendor","EDP#","RTA List"
"A-1","A","1","0.375","2.5","1","","","Helical","false","","","","Y","","","","","51.10","","","","","","3/8 3FL End Mill 1"" LOC AL","","","","N","","","Semi-Finish","false","","","40 Variable","SK 13 120","","","","","","","","","false","","","2","1.3","","8","","","","","","","3","table 2 items","","","","4","","Aluminum","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","94721453","2, 5"
"A-1","A","","","","","","","Helical","false","","","","Y","","","","","","","","","","","3/8 3FL End Mill 1"" LOC AL","","","","N","","","Semi-Finish","false","","","","SK 13 120","","","","","","","","","false","","","","","","8","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","48261","2, 5"
"D-2","D","2","0.228","","","","","OSG","false","","","","","","","","","27.97","","","","","","#1 (0.2280) DRILL 118 deg Carbide","","","","","SK13","","","false","","","","","","","","","","","","","false","","","2","","","173","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","MSC1","45105988",""
"A-3","A","3","0.375","","0.625","","","","false","","","","","","","","0.125","39.5","","","","","","3/8 BULL .125R .625 LOC","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","0.85","","5","","","","","","","4","table 2 items","","","","0","","","","","","","","","","","","","","","","","","false","","","","","","","","","","MSC1","08484552",""
"D-4","D","4","0.1285","","0.875","","","","false","","","","","","","TIALN","N/A","","","","","","","#30Drill Through Coolant .1285Ø","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","1.10","","4","","","","","","","2","table 2 items","","","","1","","","","","","","","","","","","","","","","","","true","142°","","","","","","","","","PTsolutions","0221027",""
"A-5","A","5","0.125","1.5","0.5","","","","false","","","","Y","","","","","8.38","","","","","","1/8 EM 4FL .5"" LOC","","","","N","","","","false","","","30","SK 13 150","","","","","","","","","false","","","","0.70","","7","","","","","","","4","table 2 items","g","","","6","","","","","","","0.125","","","","","","","","","","","false","","","","","CARB","","","","","MSC1","88250113",""
"A-6 (Ar)","A","6","0.375","","1","","","","false","","","","","","","","","41.32","","","","","","NOT USED .375 EM 3FL 1.LOC","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","","","","10","","","","","","","3","table 2 items","","","","","","","","","","","","","","","Archived","","","","","","","false","","","","","","","","","","MSC","65250045",""
"B-7","B","7","0.125","","0.5","","","","false","","","","","","","","","23.06","","","","","","1/8 90° Mill Drill","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","","0.71","","6","","","","","","","2","table 2 items","","","","6","","","","","","","0.125","","","","","","","","","","","false","90°","","","","","","","","","MSC1","06298715","6, 9"
"A-8","A","8","0.75","5.25","2.5","","","","false","","","","Y","","","","","107.97","","","","","","3/4 EM 3FL 2.5 LOC","","","","N","SK20","","Finish","false","","","38","","","","","","","","","","false","","","2","3.03","","45","","","2.5","","","","3","table 2 items","","","","1","","Aluminum","","",".75","","0.75","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","03-0395","1"
"A-9","A","9","0.25","2.5","0.75","","","Accupro","false","","","","Y","","","","","32.40","","","","","","1/4"" Dia EM 3/4"" LOC, 3 Fl","","","","N","","","","false","","","37","SK 13 120","","","","","","","","","false","","","","0.99","","12","","","","","","","3","table 2 items","","","","4","","","","","","","","","","","","","","","","","","false","","","","","CARB","","","","","MSC1","65249849",""
"N-10","N","10","0.372","","","","","","false","","","","","","","","","66.36","","","","","",".372 Thread Mill 12-32TPI","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","","","","110","","","","","","","4","table 2 items","","","","0","","","","","","","","","","","","","","","","","","false","60","","","","","","","","","MSC","40232936",""
"A-11","A","11","0.5","4.0","2","","","","false","","","","","","","","0.125","99.25","","","","","","1/2Ø BUll .125R 3FL 2.LOC","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","3","","","15","","","","","","","3","table 2 items","","","","0","","","","","","","","","","","","","","","","","","false","","","","","","","","","","MSC","99040206","7, 8"
"A-12","A","12","0.25","2.5","1","","","","false","","","","Y","","","","0.03","35.65","","","","","","1/4 BULL .03R AL 1"" LOC NON-VAR-P","","","","N","","","","false","","","35","SK 13 150","","","","","","","","","false","","","","1.21","","16","","","","","","","3","table 2 items","","","","2","","Aluminum","","","","","0.25","","","","","","","","","","","false","","","","","CARB","","","","","MSC1","99054884","3, 4"
"A-13","A","13","2.5","","0.236","","","","false","","","","N","","","","","","","","","","","OLD2.5"" Shell Mill Haas HN25 AL SEE G-168","","","","N","","","","false","","","","","","","","","","","","","false","","","2","","","24","","","","","","","5","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","HAA1","02-0994",""
"A-14","A","14","0.1875","2.0","0.285","","","Harvey","false","","","","Y","","","","0.01","37.21","","","","","",".1875 BULL .01R .285 LOC 5 flutes","","","","N","SK13","","","false","","","30","","","","","","","","","","false","","","","0.37","","46","","","","","","","5","table 2 items","","","","2","","","","","","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","75716027","12, 14"
"A-14","A","","","","","","","Harvey","false","","","","Y","","","","","","","","","","",".1875 BULL .01R .285 LOC 5 flutes","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","46","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","","719510-C3","12, 14"
"A-15","A","15","0.125","1.5","0.25","","","Accupro","false","","","","Y","","","","0.01","","","","","","",".125 FEM 5Flt CARB","","","","N","SK13","","","false","","","38","","","","","","","","","","false","","","","0.36","","47","","","","","","","5","table 2 items","","","","1","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","42504084","13"
"D-16","D","16","0.228","","1.752","","","","false","","","","","","","","N/A","27.45","","","","","",".228 #1 Drill Carbide","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","","","173","","","","","","","2","table 2 items","","","","0","","","","","","","","","","","","","","","","","","false","118°","","","","","","","","","MSC1","45105988",""
"A-17","A","17","0.08","","0.240","","","","false","","","","N","","","","","","","","","","",".08 EM .24 LOC 7 Flute","","","","N","SK13","","","false","","","41","","","","","","","","","","false","","","","","","49","","","","","","","7","table 2 items","","","","","","steel","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","14768956",""
"D-18","D","18","0.2933","","1.61","","","","false","","","","","","","","","79.24","","","","","","7.45mm (.2933) Carbide Drill","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","1.73","","10","","","","","","","2","table 2 items","","","","0","","","","","","","","","","","","","","","","","","true","140°","","","","","","","","","MSC1","94329679",""
"R-19","R","19","0.31496","","1.25","","","","false","","","","","","","","","26.63","","","","","","M8 X1.25 Bottoming form tap","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","1.39","","9","","","","","","","","table 2 items","20.31999 TPI (1.25mm)","","","1","","","","","","","","","","","","","","","","","","false","","","","","","","","","","MSC","75677120","15"
"D-20","D","20","0.368","2.5","1.25","","","","false","","","","","","","","","62.08","","","","","","U (.368) CARB Drill","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","1.46","","3","","","","","","","2","table 2 items","","","","0","","","","","","","","","","","","","","","","","","false","118°","","","","CARB","","","","","MSC","00655407",""
"R-21","R","21","0.3937","","0.7087","","","","false","","","","","","","","","74.73","","","","","","M10 X 1.5 FORM TAP BOTTOMING","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","","","151","","","","","","","","table 2 items","16.9333","","","0","U 0.368","","","","","","","","","","","","","","","","","false","","","","","","","","","","MSC","75786202",""
"R-22","R","22","0.25","","0.594","","","","false","","","","","","","","N/A","16.07","","","","","","1/4-20   Form tap","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","","1.25","","2","","","","","","","","table 2 items","20TPI","","","7","","","","","","","","","","","","","","","","","","false","","","","","","","","","","MSC1","09864315",""
"A-23","A","23","0.125","","0.5","","","","false","","","","Y","","","","0.004","","","","","","",".125 EM .004R 3FL 0.5 LOC","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","","0.60","","11","","","","","","","3","table 2 items","","","","2","","AL","","","","","0.125","","","","","","","","","","","false","","","","","CARB","","","","","Mari tool","Z99098",""
"A-23","A","","","","","","","","false","","","","Y","","","","","15.44","","","","","",".125 EM .004R 3FL 0.5 LOC","","","","","","","","false","","","","SK 13 150","","","","","","","","","false","","","","","","11","","","","","","","","table 2 items","","","","","","AL","","","","","","","","","","","","","","","","false","","","","","CARB","","","","","LAK1","360018X",""
"A-24","A","24","0.375","","0.875","","","","false","","","","","","","","","","","","","","",".375 EM 3FL .875 LOC","","","","","","","","false","","","","SK 13 120","","","","","","","","","false","","","","1.07","","13","","","","","","","3","table 2 items","","","","1","","","","","","","","","","","","","","","","","","false","","","","","","","","","","Mari tool","1021-.375-.875-ZRN",""
"A-25","A","25","0.375","2.5","0.875","","","Accupro","false","","","","","","","ALtin","","33.15","","","","","","3/8 AiTin EM 4FL 7/8 LOC","","","","N","","","","false","","","40","SK 13 120","","","","","","","","","false","","","1","0.75","","14","","","","","","","4","table 2 items","","","","3","","Steel","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","01982628","10, 11"
"A-25","A","","","","","","","Garr","false","","","","","","","ALtin","","","","","","","","3/8 AiTin EM 4FL 7/8 LOC","","","","N","","","","false","","","","SK 13 120","","","","","","","","","false","","","","","","14","","","","","","","","table 2 items","","","","","","Steel","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","62327","10, 11"
"D-26","D","26","0.2933","3.0","1.61","","","","false","","","","Y","","","","","","","","","","","7.45 mm Drill 140 Deg thru tool minor drill for...","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","1.69","","1","","","","","","","2","table 2 items","","","","0","","","","","","","8mm","","","","Active","","","","","","","true","140","","","","CARB","","","","","MSC1","94329679","16"
"N-27","N","27","0.5","","0.078","","","","false","","","","N","","","","0.01","","","","","","","1/2 key cutter .078 thick .01R","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.965","","37","","","","","","","8","table 2 items","","","","1","","",".25","","","","0.5","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","39923727",""
"A-28","A","28","2.5","","0.236","","","","false","","","","N","","","","","","","","","","","2.5"" haas shell mill with steel inserts","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","24","","","","","","","5","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","02-0995",""
"A-29","A","29","0.5","2.5","1.0","","","Kennametal","false","","","","N","","","","0.03","69.46","","","","","","1/2 Bull EM .03R 6FL 1""LOC - Rough","","","","N","","","","false","","","","","","","","","","","","","false","","","","1.19","","41","","","","","","","6","table 2 items","","","","4","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","HA3R6RA0500S100HAR030","17"
"A-30","A","30","0.375","2.5","0.875","","","Accupro","false","","","","N","","","","","34.78","","","","","","3/8 EM 7/8 LOC 7FL","","","","N","","","","false","","","38","","","","","","","","","","false","","","","1.02","","31","","","","","","","7","table 2 items","","","","5","","","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","42527358","18"
"N-31","N","31","1.0905","","0.0785","","","","false","","","","N","","","","","","","","","","","27.7mm (1.09"") PH Horn Saw .0785""Width","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","34","","","","","","","6","table 2 items","","","","5","","","","","","","12mm","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","628.0200.00 AS45","19"
"N-31","N","","","","","","","","false","","","","N","","","","","","","","","","","27.7mm (1.09"") PH Horn Saw .0785""Width","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","34","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","M328.ST12.01A","19"
"N-31","N","","","","","","","PH Horn","false","","","","N","","","","","","","","","","","27.7mm (1.09"") PH Horn Saw .0785""Width","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","34","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","628.0200.00 AS45","19"
"A-32","A","32","0.1875","","0.375","","","","false","","","","Y","","","AlTiN","0.01","","","","","","","3/16 BULL .01R 5 FL 3/8 LOC","","","","N","SK13","","","false","","","40","","","","","","","","","","false","","","","0.49","","58","","","","","","","5","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","70211008",""
"D-33","D","33","0.25","","0.75","","","Micro 100","false","","","","Y","","","","","35.39","","","","","","1/4 140° Spot Drill","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.88","","40","","","","","","","","table 2 items","","","","9","","","","","","","0.25","","","","Active","","","","","","","false","140","0.005","","","CARB","","","","","MSC1","78638632",""
"B-34","B","34","0.25","","0.75","","","Garr","false","","","","Y","","","","","20.78","","","","","","1/4 BALL 4FL 3/4 LOC","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.89","","56","","","","","","","4","table 2 items","","","","0","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","28580",""
"A-35","A","35","0.1875","2","0.57","","","Harvey","false","","","","","","","","","","","","","","","3/16 EM 7FL .57 LOC","","","","","","","","false","","","","","","","","","","","","","false","","","","0.65","","52","","","","","","","7","table 2 items","","","","11","","","","","","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","57912-C6",""
"A-35","A","","","","","","","Harvey","false","","","","","","","","","44.00","","","","","","3/16 EM 7FL .57 LOC","","","","","","","","false","","","","","","","","","","","","","false","","","","","","52","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","51219954",""
"A-35","A","","","","","","","Harvey","false","","","","","","","","","45.08","","","","","","3/16 EM 7FL .57 LOC","","","","","","","","false","","","","","","","","","","","","","false","","","","","","52","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","57912-C6",""
"A-36","A","36","0.109","2","0.327","","","Harvey","false","","","","N","","","","","","","","","","","7/64 (.109) EM 7FL .327LOC","","","","N","SK13","","","false","","","Variable","","","","","","","","","","false","","","","0.42","","53","","","","","","","7","table 2 items","","","","5","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","57902-C6",""
